nome,anno,prezzo,km,categoria
grand i10,2015,5.25,24678,auto
i10,2011,2.55,57000,auto
verna,2012,4.95,60000,auto
i20,2012,3.1,52132,auto
verna,2013,6.15,45000,auto
verna,2017,9.25,15001,auto
elantra,2015,11.45,12900,auto
grand i10,2013,3.9,53000,auto
grand i10,2015,5.5,4492,auto
verna,2017,9.1,15141,auto
eon,2016,3.1,11849,auto
creta,2015,11.25,68000,auto
verna,2013,4.8,60241,auto
eon,2012,2.0,23709,auto
verna,2012,5.35,32322,auto
xcent,2015,4.75,35866,auto
xcent,2014,4.4,34000,auto
i20,2016,6.25,7000,auto
verna,2013,5.95,49000,auto
verna,2012,5.2,71000,auto
i20,2012,3.75,35000,auto
verna,2015,5.95,36000,auto
i10,2013,4.0,30000,auto
i20,2016,5.25,17000,auto
creta,2016,12.9,35934,auto
city,2013,5.0,56701,auto
brio,2015,5.4,31427,auto
city,2014,7.2,48000,auto
city,2013,5.25,54242,auto
brio,2012,3.0,53675,auto
city,2016,10.25,49562,auto
city,2015,8.5,40324,auto
city,2015,8.4,25000,auto
amaze,2014,3.9,36054,auto
city,2016,9.15,29223,auto
brio,2016,5.5,5600,auto
amaze,2015,4.0,40023,auto
jazz,2016,6.6,16002,auto
amaze,2015,4.0,40026,auto
jazz,2017,6.5,21200,auto
amaze,2014,3.65,35000,auto
city,2016,8.35,19434,auto
brio,2017,4.8,19000,auto
city,2015,6.7,18828,auto
city,2011,4.1,69341,auto
city,2009,3.0,69562,auto
city,2015,7.5,27600,auto
jazz,2010,2.25,61203,auto
brio,2014,5.3,16500,auto
city,2016,10.9,30753,auto
city,2015,8.65,24800,auto
city,2015,9.7,21780,auto
jazz,2016,6.0,4000,auto
city,2014,6.25,40126,auto
brio,2015,5.25,14465,auto
city,2006,2.1,50456,auto
city,2014,8.25,63000,auto
city,2016,8.99,9010,auto
brio,2013,3.5,9800,auto
jazz,2016,7.4,15059,auto
jazz,2016,5.65,28569,auto
amaze,2015,5.75,44000,auto
city,2015,8.4,34000,auto
city,2016,10.11,10980,auto
amaze,2014,4.5,19000,auto
brio,2015,5.4,31427,auto
jazz,2016,6.4,12000,auto
city,2010,3.25,38000,auto
amaze,2014,3.75,33019,auto
city,2015,8.55,60076,auto
city,2016,9.5,33988,auto
brio,2015,4.0,60000,auto
city,2009,3.35,87934,auto
city,2017,11.5,9000,auto
brio,2016,5.3,5464,auto
