nome,anno,prezzo,km,motore,potenza,categoria,sorgente,tipo,rarità,colore,Set
Maruti Baleno Delta 1.2,2019.0,650000.0,30000.0,1197 CC,83.1 bhp,auto,df_auto,,,,
Volkswagen Ameo 1.5 TDI Highline 16 Alloy,2016.0,540000.0,40000.0,1498 CC,108.495 bhp,auto,df_auto,,,,
Honda City i DTEC VX,2015.0,630000.0,135000.0,1498 CC,98.6 bhp,auto,df_auto,,,,
Maruti Wagon R AMT VXI,2018.0,448000.0,30000.0,998 CC,67 bhp,auto,df_auto,,,,
Volkswagen Ameo 1.5 TDI Comfortline,2017.0,500000.0,80000.0,1498 CC,108.62 bhp,auto,df_auto,,,,
Maruti Vitara Brezza VDi,2016.0,745000.0,70000.0,1248 CC,88.5 bhp,auto,df_auto,,,,
Maruti Vitara Brezza ZDi Plus AMT,2019.0,1025000.0,9850.0,1248 CC,88.5 bhp,auto,df_auto,,,,
Hyundai i10 Magna,2011.0,235000.0,60000.0,1197 CC,78.9 bhp,auto,df_auto,,,,
Maruti Swift VDI Deca,2016.0,630000.0,70000.0,1248 CC,74 bhp,auto,df_auto,,,,
Toyota Fortuner 4x4 MT,2015.0,1700000.0,78000.0,2982 CC,168.5 bhp,auto,df_auto,,,,
Maruti Swift Star VDI,2013.0,450000.0,120000.0,1248 CC,74 bhp,auto,df_auto,,,,
Maruti Ertiga ZXI,2012.0,450000.0,120000.0,1373 CC,93.7 bhp,auto,df_auto,,,,
Tata Indica DLS,2003.0,50000.0,70000.0,,,auto,df_auto,,,,
Volkswagen Vento Diesel Highline,2013.0,450000.0,170000.0,1598 CC,103.6 bhp,auto,df_auto,,,,
Toyota Innova 2.5 VX (Diesel) 8 Seater,2016.0,1200000.0,140000.0,2494 CC,100.6 bhp,auto,df_auto,,,,
Ford EcoSport 1.5 TDCi Titanium Plus BSIV,2015.0,610000.0,90000.0,1498 CC,98.59 bhp,auto,df_auto,,,,
BMW X1 sDrive20i xLine,2016.0,2500000.0,30000.0,1998 CC,189 bhp,auto,df_auto,,,,
Maruti Celerio ZXI MT BSIV,2017.0,484999.0,10000.0,998 CC,67.04 bhp,auto,df_auto,,,,
Datsun GO A Petrol,2016.0,275000.0,49000.0,1198 CC,67.05 bhp,auto,df_auto,,,,
Maruti Alto 800 VXI BSIV,2016.0,315000.0,32000.0,796 CC,47.3 bhp,auto,df_auto,,,,
Maruti Alto 800 LXI BSIV,2016.0,275000.0,38000.0,796 CC,47.3 bhp,auto,df_auto,,,,
Maruti Swift VDI BSIV W ABS,2015.0,475000.0,78000.0,,,auto,df_auto,,,,
Hyundai i10 Era 1.1,2012.0,290000.0,28000.0,1086 CC,68.05 bhp,auto,df_auto,,,,
Maruti Omni 8 Seater BSIV,2017.0,280000.0,32000.0,796 CC,35 bhp,auto,df_auto,,,,
Maruti Wagon R LXI LPG BSIV,2010.0,225000.0,44000.0,998 CC,58.2 bhp,auto,df_auto,,,,
Volkswagen Polo 1.2 MPI Comfortline,2015.0,455000.0,42000.0,1198 CC,74 bhp,auto,df_auto,,,,
Hyundai i10 Magna 1.1L,2015.0,351000.0,45000.0,1086 CC,68.05 bhp,auto,df_auto,,,,
Volkswagen Vento Petrol Highline,2012.0,535000.0,12000.0,1598 CC,103.6 bhp,auto,df_auto,,,,
Maruti Zen Estilo LXI BSIII,2009.0,175000.0,55500.0,998 CC,67.1 bhp,auto,df_auto,,,,
Hyundai i20 Asta Optional with Sunroof 1.2,2013.0,525000.0,61500.0,1197 CC,82.85 bhp,auto,df_auto,,,,
Maruti Swift Dzire LDI,2016.0,600000.0,150000.0,1248 CC,74 bhp,auto,df_auto,,,,
Hyundai Xcent 1.2 Kappa SX Option AT,2016.0,565000.0,72000.0,1197 CC,82 bhp,auto,df_auto,,,,
Maruti Alto LX BSIII,2008.0,120000.0,68000.0,796 CC,46.3 bhp,auto,df_auto,,,,
Hyundai i20 1.4 Asta Option,2017.0,725000.0,110000.0,1396 CC,88.73 bhp,auto,df_auto,,,,
Maruti Wagon R VXI,2009.0,185000.0,77000.0,998 CC,67.05 bhp,auto,df_auto,,,,
Tata Manza Aura (ABS) Quadrajet,2010.0,200000.0,100000.0,1248 CC,90 bhp,auto,df_auto,,,,
Maruti Swift VXI,2019.0,615000.0,10000.0,1197 CC,81.80 bhp,auto,df_auto,,,,
Maruti Eeco 7 Seater Standard BSIV,2016.0,270000.0,100000.0,1196 CC,73 bhp,auto,df_auto,,,,
Maruti Baleno Zeta 1.2,2018.0,610000.0,35000.0,1197 CC,83.1 bhp,auto,df_auto,,,,
Mahindra Scorpio VLX AT AIRBAG BSIV,2014.0,625000.0,70000.0,2179 CC,120 bhp,auto,df_auto,,,,
Ford Freestyle Titanium Petrol BSIV,2020.0,400000.0,5000.0,1194 CC,94.68 bhp,auto,df_auto,,,,
Hyundai Verna VTVT 1.6 SX,2017.0,866000.0,37800.0,1591 CC,121.3 bhp,auto,df_auto,,,,
Volkswagen Passat 1.8 TSI MT,2010.0,700000.0,114000.0,1798 CC,160 bhp,auto,df_auto,,,,
Tata Indica Vista Aura 1.2 Safire (ABS) BS IV,2010.0,300000.0,48000.0,1172 CC,65 bhp,auto,df_auto,,,,
Mahindra XUV500 W11 Option AWD,2019.0,1700000.0,32000.0,2179 CC,155 bhp,auto,df_auto,,,,
Tata Indigo CS LS (TDI) BS-III,2016.0,375000.0,100000.0,1405 CC,69.01 bhp,auto,df_auto,,,,
Hyundai Verna 1.6 SX,2013.0,522000.0,150000.0,1582 CC,126.32 bhp,auto,df_auto,,,,
Hyundai i20 Magna 1.4 CRDi (Diesel),2013.0,451999.0,69000.0,1396 CC,88.76 bhp,auto,df_auto,,,,
Toyota Corolla Altis G,2009.0,300000.0,100000.0,1798 CC,138.1 bhp,auto,df_auto,,,,
Maruti Celerio VXI,2020.0,475000.0,13000.0,998 CC,67.04 bhp,auto,df_auto,,,,
Maruti Vitara Brezza ZDi Plus Dual Tone,2016.0,780000.0,60000.0,1248 CC,88.5 bhp,auto,df_auto,,,,
Maruti Swift Dzire VXI,2017.0,595000.0,40000.0,1197 CC,83.14 bhp,auto,df_auto,,,,
Maruti Wagon R VXI BS IV,2017.0,440000.0,35000.0,998 CC,67.04 bhp,auto,df_auto,,,,
Maruti Swift VDI BSIV,2010.0,300000.0,120000.0,,,auto,df_auto,,,,
Nissan Terrano XL 85 PS,2014.0,400000.0,70000.0,1461 CC,83.8 bhp,auto,df_auto,,,,
Hyundai Creta 1.6 CRDi SX,2016.0,1140000.0,50000.0,1582 CC,126.2 bhp,auto,df_auto,,,,
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2017.0,850000.0,76139.0,1498 CC,98.96 bhp,auto,df_auto,,,,
Maruti Swift Dzire VDi,2012.0,370000.0,175000.0,1248 CC,73.9 bhp,auto,df_auto,,,,
Renault KWID 1.0,2018.0,350000.0,25000.0,999 CC,67 bhp,auto,df_auto,,,,
Maruti Celerio VXI,2015.0,360000.0,40000.0,998 CC,67.04 bhp,auto,df_auto,,,,
Maruti Alto LXi,2008.0,105000.0,65000.0,796 CC,46.3 bhp,auto,df_auto,,,,
Maruti Ertiga VDI,2013.0,625000.0,90000.0,1248 CC,88.76 bhp,auto,df_auto,,,,
Hyundai Santro Xing GLS,2009.0,135000.0,80000.0,1086 CC,62.1 bhp,auto,df_auto,,,,
Maruti Ertiga VDI,2015.0,700000.0,110000.0,1248 CC,88.76 bhp,auto,df_auto,,,,
Honda Amaze S i-VTEC,2019.0,690000.0,1303.0,1198 CC,86.7 bhp,auto,df_auto,,,,
Audi Q5 35TDI Premium Plus,2018.0,3975000.0,31800.0,1968 CC,188 bhp,auto,df_auto,,,,
Lexus ES 300h,2019.0,5150000.0,20000.0,2487 CC,214.56 bhp,auto,df_auto,,,,
Jaguar XF 2.0 Diesel Portfolio,2017.0,3200000.0,45000.0,1999 CC,177 bhp,auto,df_auto,,,,
Jeep Wrangler 2016-2019 3.6 4X4,2017.0,4100000.0,17000.0,3604 CC,280 bhp,auto,df_auto,,,,
Land Rover Discovery Sport TD4 SE,2019.0,4500000.0,21000.0,1999 CC,148.31 bhp,auto,df_auto,,,,
Mercedes-Benz S-Class S 350 CDI,2017.0,6000000.0,37000.0,2987 CC,254.79 bhp,auto,df_auto,,,,
BMW 5 Series 520d Sport Line,2018.0,3790000.0,29500.0,1995 CC,187.74 bhp,auto,df_auto,,,,
BMW X1 sDrive 20D xLine,2017.0,2150000.0,27000.0,,,auto,df_auto,,,,
BMW X4 M Sport X xDrive20d,2019.0,5800000.0,7500.0,1995 CC,190 bhp,auto,df_auto,,,,
Skoda Superb LK 1.8 TSI AT,2018.0,1864999.0,50000.0,1798 CC,177.46 bhp,auto,df_auto,,,,
Mercedes-Benz E-Class E250 Edition E,2016.0,2700000.0,35000.0,2143 CC,204 bhp,auto,df_auto,,,,
MG Hector Sharp AT BSIV,2019.0,1750000.0,19000.0,1451 CC,141 bhp,auto,df_auto,,,,
Honda City i-VTEC CVT VX,2017.0,795000.0,41000.0,1497 CC,117.6 bhp,auto,df_auto,,,,
Toyota Corolla Altis 1.8 G CVT,2013.0,625000.0,39000.0,1798 CC,138.03 bhp,auto,df_auto,,,,
Volvo XC40 D4 R-Design,2018.0,3400000.0,22000.0,1969 CC,190 bhp,auto,df_auto,,,,
Audi Q7 35 TDI Quattro Premium,2015.0,2650000.0,53000.0,2967 CC,241.4 bhp,auto,df_auto,,,,
Maruti Ciaz ZDi,2015.0,535000.0,40000.0,1248 CC,88.5 bhp,auto,df_auto,,,,
Mercedes-Benz S-Class S 350 CDI,2017.0,5850000.0,47000.0,2987 CC,282 bhp,auto,df_auto,,,,
BMW 5 Series 523i,2010.0,975000.0,72200.0,2497 CC,150 bhp,auto,df_auto,,,,
Hyundai Elantra S,2016.0,805000.0,49900.0,1797 CC,147.5 bhp,auto,df_auto,,,,
Jaguar XE 2016-2019 2.0L Diesel Prestige,2017.0,2625000.0,9000.0,1999 CC,177 bhp,auto,df_auto,,,,
Tata Nexon 1.2 Revotron XZ Plus Dual Tone,2018.0,811000.0,11000.0,1198 CC,108.5 bhp,auto,df_auto,,,,
Volkswagen Vento Petrol Highline,2011.0,375000.0,49000.0,1598 CC,103.6 bhp,auto,df_auto,,,,
Hyundai Elantra SX,2012.0,550000.0,95000.0,1797 CC,147.5 bhp,auto,df_auto,,,,
Skoda Rapid 1.6 MPI AT Elegance,2016.0,645000.0,11000.0,1598 CC,103.5 bhp,auto,df_auto,,,,
Mercedes-Benz CLA 200 CGI Sport,2018.0,2550000.0,18000.0,1991 CC,183 bhp,auto,df_auto,,,,
Maruti Ertiga ZXI,2014.0,599000.0,46100.0,1373 CC,93.7 bhp,auto,df_auto,,,,
Mercedes-Benz New C-Class C 200 AVANTGARDE,2017.0,2700000.0,16000.0,1991 CC,181.04 bhp,auto,df_auto,,,,
Honda City V AT,2017.0,875000.0,18000.0,1497 CC,116.3 bhp,auto,df_auto,,,,
Toyota Glanza V CVT,2019.0,894999.0,9654.0,1197 CC,81.80 bhp,auto,df_auto,,,,
Maruti Alto K10 VXI,2011.0,175000.0,11000.0,998 CC,67.05 bhp,auto,df_auto,,,,
Maruti Swift VXI,2012.0,340000.0,24300.0,1197 CC,81.80 bhp,auto,df_auto,,,,
Toyota Innova Crysta 2.8 ZX AT BSIV,2016.0,1525000.0,42163.0,2755 CC,171.5 bhp,auto,df_auto,,,,
Tata Nexon 1.5 Revotorq XZA Plus DualTone,2018.0,1025000.0,8000.0,1497 CC,108.5 bhp,auto,df_auto,,,,
BMW 3 Series 320d Luxury Line,2016.0,2150000.0,30000.0,1995 CC,190 bhp,auto,df_auto,,,,
Toyota Camry 2.5 Hybrid,2016.0,1900000.0,41000.0,2494 CC,157.7 bhp,auto,df_auto,,,,
BMW 5 Series 520d Luxury Line,2016.0,2900000.0,12000.0,1995 CC,190 bhp,auto,df_auto,,,,
Toyota Camry W4 (AT),2009.0,450000.0,71000.0,2362 CC,164.7 bhp,auto,df_auto,,,,
Maruti Ertiga BSIV ZXI Plus,2016.0,850000.0,20000.0,1373 CC,91.1 bhp,auto,df_auto,,,,
Volvo XC90 T8 Excellence BSIV,2017.0,10000000.0,30000.0,1969 CC,400 bhp,auto,df_auto,,,,
Volkswagen Vento Diesel Highline,2011.0,300000.0,100000.0,1598 CC,103.6 bhp,auto,df_auto,,,,
Ford Figo Aspire 1.2 Ti-VCT Trend,2018.0,575000.0,9500.0,1196 CC,86.8 bhp,auto,df_auto,,,,
Ford Figo Diesel LXI,2011.0,160000.0,120000.0,1399 CC,68 bhp,auto,df_auto,,,,
Maruti Swift VXI Optional,2015.0,515000.0,36600.0,1197 CC,81.80 bhp,auto,df_auto,,,,
Maruti Wagon R AMT VXI,2015.0,390000.0,50000.0,998 CC,67 bhp,auto,df_auto,,,,
Hyundai i20 Magna 1.2,2016.0,550000.0,14000.0,1197 CC,81.83 bhp,auto,df_auto,,,,
Maruti 800 Std,1999.0,40000.0,40000.0,796 CC,37 bhp,auto,df_auto,,,,
Maruti Ritz VDi,2010.0,220000.0,120000.0,1248 CC,73.9 bhp,auto,df_auto,,,,
Hyundai Grand i10 Magna,2015.0,425000.0,70000.0,1197 CC,82 bhp,auto,df_auto,,,,
Volkswagen Ameo 1.0 MPI Trendline,2019.0,480000.0,13000.0,999 CC,75 bhp,auto,df_auto,,,,
Hyundai Grand i10 Sportz,2014.0,400000.0,60000.0,1197 CC,82 bhp,auto,df_auto,,,,
Maruti Swift Dzire VXI,2014.0,487000.0,35000.0,1197 CC,85.8 bhp,auto,df_auto,,,,
Hyundai Xcent 1.2 Kappa S,2016.0,386000.0,44000.0,1197 CC,82 bhp,auto,df_auto,,,,
Honda City 1.5 EXI,2005.0,100000.0,120000.0,1493 CC,100 bhp,auto,df_auto,,,,
Toyota Corolla Altis Diesel D4DG,2010.0,300000.0,60000.0,1364 CC,87.2 bhp,auto,df_auto,,,,
Daewoo Matiz SD,2000.0,100000.0,60000.0,796 CC,53 bhp,auto,df_auto,,,,
Toyota Fortuner 4x2 Manual,2014.0,1750000.0,30000.0,2982 CC,168.5 bhp,auto,df_auto,,,,
Mahindra KUV 100 mFALCON G80 K8,2016.0,450000.0,15000.0,1198 CC,82 bhp,auto,df_auto,,,,
Tata Zest Quadrajet 1.3 75PS XM,2017.0,490000.0,90000.0,1248 CC,74 bhp,auto,df_auto,,,,
Honda City 1.5 S MT,2009.0,345000.0,47000.0,1497 CC,118 bhp,auto,df_auto,,,,
Maruti Zen LXI,2005.0,85000.0,90000.0,993 CC,60 bhp,auto,df_auto,,,,
Maruti Wagon R VXI BS IV with ABS,2010.0,215000.0,120600.0,998 CC,67.1 bhp,auto,df_auto,,,,
Hyundai Verna Transform SX VTVT,2010.0,320000.0,100000.0,1599 CC,103.2 bhp,auto,df_auto,,,,
Maruti Swift Dzire VXI,2016.0,459999.0,60000.0,1197 CC,83.14 bhp,auto,df_auto,,,,
Hyundai Getz GLS,2005.0,65000.0,86000.0,1341 CC,83 bhp,auto,df_auto,,,,
Hyundai Elite i20 Sportz Plus BSIV,2020.0,720000.0,5000.0,1197 CC,81.86 bhp,auto,df_auto,,,,
Maruti Ciaz 1.3 Alpha,2017.0,800000.0,37000.0,1248 CC,88.5 bhp,auto,df_auto,,,,
Tata Tigor 1.2 Revotron XZ,2019.0,520000.0,14000.0,1199 CC,84 bhp,auto,df_auto,,,,
Maruti Ertiga VDI,2015.0,580000.0,70000.0,1248 CC,88.76 bhp,auto,df_auto,,,,
Toyota Etios GD,2012.0,235000.0,120000.0,,,auto,df_auto,,,,
Honda City i VTEC S,2015.0,600000.0,50000.0,1497 CC,117.3 bhp,auto,df_auto,,,,
Honda Brio S MT,2014.0,290000.0,60000.0,1198 CC,86.8 bhp,auto,df_auto,,,,
Maruti Wagon R LXI CNG,2016.0,360000.0,50000.0,998 CC,58.16 bhp,auto,df_auto,,,,
Maruti Swift Dzire VXI,2017.0,550000.0,50000.0,1197 CC,83.14 bhp,auto,df_auto,,,,
Hyundai i20 Sportz 1.2,2013.0,375000.0,70000.0,1197 CC,82.85 bhp,auto,df_auto,,,,
Maruti Omni E 8 Str STD,2003.0,40000.0,90000.0,,,auto,df_auto,,,,
Maruti Wagon R AMT VXI,2018.0,420000.0,35000.0,998 CC,67 bhp,auto,df_auto,,,,
Maruti Swift Dzire VXI 1.2,2017.0,550000.0,20000.0,1197 CC,81.80 bhp,auto,df_auto,,,,
Maruti Alto 800 LXI,2018.0,270000.0,20000.0,796 CC,47.3 bhp,auto,df_auto,,,,
Maruti Swift Dzire AMT VXI BS IV,2018.0,700000.0,7800.0,1197 CC,81.80 bhp,auto,df_auto,,,,
Maruti Swift VXI Optional,2017.0,500000.0,20000.0,1197 CC,81.80 bhp,auto,df_auto,,,,
Tata Hexa XE,2019.0,1250000.0,15000.0,2179 CC,147.94 bhp,auto,df_auto,,,,
Hyundai i20 Magna,2013.0,320000.0,31377.0,1197 CC,82.85 bhp,auto,df_auto,,,,
Maruti Swift Dzire VDI,2018.0,700000.0,50000.0,1248 CC,74.02 bhp,auto,df_auto,,,,
Maruti Wagon R VXI BS IV,2015.0,290000.0,60000.0,998 CC,67.04 bhp,auto,df_auto,,,,
Toyota Corolla Altis 1.8 VL AT,2012.0,550000.0,100000.0,1794 CC,138.1 bhp,auto,df_auto,,,,
Honda Brio S MT,2012.0,265000.0,60000.0,1198 CC,86.8 bhp,auto,df_auto,,,,
Maruti Baleno Alpha Automatic,2018.0,830000.0,5000.0,1197 CC,83.1 bhp,auto,df_auto,,,,
Tata Safari Storme EX,2017.0,800000.0,60000.0,2179 CC,147.94 bhp,auto,df_auto,,,,
Maruti Alto LXi,2011.0,160000.0,25000.0,796 CC,46.3 bhp,auto,df_auto,,,,
Renault KWID RXT,2018.0,335000.0,30000.0,799 CC,53.3 bhp,auto,df_auto,,,,
Datsun GO T BSIV,2017.0,329000.0,80000.0,1198 CC,67 bhp,auto,df_auto,,,,
Maruti Vitara Brezza VDi Option,2017.0,775000.0,75000.0,1248 CC,88.5 bhp,auto,df_auto,,,,
Hyundai Xcent 1.2 VTVT SX,2020.0,524000.0,32000.0,1197 CC,81.86 bhp,auto,df_auto,,,,
Maruti Alto 800 LXI,2015.0,245000.0,40000.0,796 CC,47.3 bhp,auto,df_auto,,,,
Hyundai i20 1.2 Sportz,2012.0,275000.0,93000.0,1197 CC,80 bhp,auto,df_auto,,,,
Tata Zest Revotron 1.2 XT,2018.0,520000.0,60000.0,1193 CC,88.7 bhp,auto,df_auto,,,,
Maruti Swift 1.3 VXi,2008.0,130000.0,120000.0,,,auto,df_auto,,,,
Nissan Sunny XL,2014.0,550000.0,37000.0,1498 CC,97.7 bhp,auto,df_auto,,,,
Ford EcoSport 1.5 Petrol Titanium Plus BSIV,2018.0,910000.0,15000.0,1497 CC,121.36 bhp,auto,df_auto,,,,
Nissan Micra Active XV S,2015.0,300000.0,80000.0,1198 CC,67.04 bhp,auto,df_auto,,,,
Maruti Wagon R LXI Optional,2016.0,350000.0,140000.0,998 CC,67.04 bhp,auto,df_auto,,,,
Mahindra Ssangyong Rexton RX5,2013.0,900000.0,70000.0,2696 CC,162 bhp,auto,df_auto,,,,
Mahindra Quanto C8,2013.0,300000.0,120000.0,1493 CC,100 bhp,auto,df_auto,,,,
Maruti Ritz LDi,2010.0,250000.0,110000.0,1248 CC,73.9 bhp,auto,df_auto,,,,
Hyundai Creta 1.6 CRDi SX Plus Dual Tone,2017.0,1100000.0,37000.0,1582 CC,126.2 bhp,auto,df_auto,,,,
Renault KWID RXT,2016.0,270000.0,44000.0,799 CC,53.3 bhp,auto,df_auto,,,,
Maruti Ertiga VDI,2015.0,640000.0,80000.0,1248 CC,88.76 bhp,auto,df_auto,,,,
Mahindra XUV500 W4,2015.0,650000.0,125000.0,2179 CC,140 bhp,auto,df_auto,,,,
Maruti Eeco 5 Seater AC BSIV,2017.0,409999.0,13500.0,1196 CC,73 bhp,auto,df_auto,,,,
Hyundai Santro Xing GLS,2011.0,165000.0,75000.0,1086 CC,62.1 bhp,auto,df_auto,,,,
